ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
,simple,,Hermès,1,0,visible,"Birkin 25 Etain Togo Palladium Hardware Stamp W 2024<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,23200,24500,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/03/HermesA14.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly 20 Mini Gris Pale Epsom Gold Hardware Stamp W 2024<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,26700,28000,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/03/HermesA13.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Hac a Dos pm Black Toile Bivouac/Swift Stamp W 2024<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,11200,12000,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/03/HermesA12.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly Danse Black Gold Hardware Stamp B 2023<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,19200,20000,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/03/HermesA11.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly Pochette Gold Swift Gold Hardware Stamp B 2023<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,20000,20800,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/03/HermesA10.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Birkin 25 Vert Fonce Togo Palladium Hardware Stamp W 2024<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,22700,24000,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/03/HermesA9.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Birkin 25 Rouge Sellier Togo Gold Hardware Stamp B 2023<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,23500,24800,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/03/HermesA8.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Hac a Dos Gris Pale Palladium Hardware Stamp W 2024<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,10000,10800,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/03/HermesA7.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Birkin 25 Black Epsom Sellier Gold Hardware Stamp W 2024<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,25200,26500,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/03/HermesA6.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Mini Lindy Beton Matte Alligator Gold Hardware Stamp W 2024<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,39500,40500,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/03/HermesA5.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Birkin 30 Barenia/Ebene Gold Hardware Stamp K<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,24200,25500,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/03/HermesA4.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly 20 Mini Tricolor Ecorce/Etoupe/Black Stamp B 2023<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,24200,25500,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/03/HermesA3.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly 20 Mini Etoupe Epsom Gold Hardware Stamp K<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,25700,27000,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/03/HermesA2.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Birkin 30 HSS Gris Perle/Vert Deau Palladium Hardware Stamp U 2022<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,59500,61500,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/03/HermesA1.jpg,,,,,,,,,0
